124903414	124903414	1
5066	5921	1
4300	4300	1
1340	1340	1
54904	54904	1
9601	9601	1
60485	60485	1
645142	645142	1
3399	5921	1
10092	10092	1
64805	64805	1
5575	5575	1
10048	5364	1
1200	4609	1
5588	5795	1
2534	7852	1
59345	59345	1
3249	3249	1
338376	338376	1
116443	9743	1
339745	339745	1
6811	6811	1
3909	3909	1
9652	9652	1
2690	3717	1
25885	25885	1
10672	2781	1
4072	4072	1
56953	56953	1
441272	441272	1
3248	3248	1
124907625	124907625	1
89869	89869	1
7430	7431	1
3635	5796	1
6340	7329	1
124905754	124905754	1
5429	5429	1
5787	84105	1
118461	118461	1
8646	8646	1
51021	51021	1
10728	4609	1
195814	195814	1
440	440	1
6558	6558	1
207	208	1
23114	288	1
340980	340980	1
124905791	124905791	1
831	831	1
114609	6923	1
124907607	124907607	1
403284	403284	1
208	4149	1
8760	8760	1
83440	83440	1
3717	7428	1
5788	5796	1
1263	1263	1
51318	51318	1
124901221	124901221	1
153364	153364	1
10382	10382	1
150684	2534	1
9479	9479	1
3459	6921	1
10347	10347	1
6455	6455	1
8045	85440	1
10971	4747	1
2169	2169	1
3973	3973	1
2249	2249	1
10048	5774	1
199857	199857	1
375790	375790	1
3039	4747	1
6921	7010	1
65263	65263	1
5578	5582	1
642843	642843	1
253314	253314	1
406988	406988	1
131890	131890	1
150684	7010	1
6774	867	1
4716	8312	1
80022	80022	1
11015	11015	1
1295	1295	1
4842	5335	1
1499	6774	1
3198	3198	1
2549	5800	1
1021	2185	1
112574	112574	1
124907720	124907720	1
7011	7514	1
51301	51301	1
1101	1101	1
390084	390084	1
1398	3702	1
2475	6605	1
124907246	124907246	1
255043	255043	1
79899	79899	1
390260	390260	1
8600	8600	1
100130302	100130302	1
9542	9542	1
6340	8724	1
3320	8607	1
2562	2562	1
5518	5518	1
10317	10317	1
3589	3589	1
3083	80176	1
353145	353145	1
151531	151531	1
79346	79346	1
10113	10113	1
6009	7249	1
2064	4690	1
64926	64926	1
5335	9229	1
3667	7410	1
124907293	124907293	1
207	85440	1
10424	10424	1
9530	9530	1
3480	7006	1
30011	5584	1
4609	4691	1
1499	7534	1
10664	54984	1
51454	51454	1
2885	3691	1
1672	1672	1
117581	117581	1
65110	65110	1
638	638	1
114609	6924	1
816	8573	1
64746	64746	1
10686	10686	1
3399	6548	1
1268	200958	1
5531	5531	1
10207	9229	1
815	8573	1
5145	5145	1
2081	2081	1
8471	8471	1
7436	7436	1
259296	259296	1
8905	8905	1
220988	220988	1
124908324	124908324	1
10979	10979	1
2167	2167	1
124905783	124905783	1
401667	401667	1
1499	7391	1
9104	9104	1
57600	57600	1
10971	3039	1
58	6548	1
5058	5058	1
4055	4055	1
163	163	1
7430	8045	1
8352	8352	1
124907170	124907170	1
208	4609	1
3560	5970	1
9031	9031	1
2322	5159	1
1613	80176	1
94274	94274	1
2957	2957	1
1398	3560	1
3481	3481	1
51649	51649	1
785	785	1
1027	1432	1
26118	3667	1
29117	29117	1
1749	1749	1
22824	22824	1
4352	6921	1
124905431	124905431	1
729759	729759	1
2049	2049	1
4331	5747	1
127066	127066	1
727837	727837	1
836	867	1
10134	10134	1
3815	6924	1
2185	2902	1
63035	63035	1
387	387	1
2495	4804	1
29943	29943	1
116443	815	1
125476	125476	1
30846	30846	1
3077	3077	1
5338	5338	1
826	826	1
90	90	1
8772	8772	1
2629	2629	1
1442	5921	1
466	466	1
23057	23057	1
351	351	1
51655	51655	1
573	5781	1
80349	80349	1
6772	983	1
120227	120227	1
196385	196385	1
5747	57610	1
7791	7791	1
6176	6176	1
6206	6206	1
2017	5295	1
8330	8330	1
27089	27089	1
114609	81603	1
768	768	1
4736	4736	1
124907577	124907577	1
10971	7531	1
124907581	124907581	1
5528	5528	1
7128	7128	1
11168	11168	1
4550	4550	1
5781	6774	1
353142	353142	1
119548	119548	1
219986	219986	1
124907204	124907204	1
558	8835	1
23545	23545	1
10332	10332	1
4552	4552	1
49861	49861	1
285973	285973	1
6874	6874	1
2882	2882	1
3419	3419	1
120103	120103	1
10664	4609	1
27128	27128	1
5796	6654	1
1027	4747	1
79317	79317	1
3636	5582	1
1435	7428	1
10131	10131	1
1956	7410	1
124907292	124907292	1
2787	2787	1
5774	9093	1
1398	2690	1
26272	26272	1
124907650	124907650	1
2554	5580	1
28964	28964	1
207	7391	1
116988	116988	1
1045	1045	1
4589	4589	1
167227	167227	1
2752	2752	1
126370	126370	1
1013	1013	1
2534	816	1
80326	80326	1
5101	5101	1
2788	2788	1
912	912	1
5371	80198	1
3459	5970	1
11146	2017	1
1358	1358	1
55669	55669	1
1741	5998	1
1956	7428	1
1398	9978	1
2847	2847	1
319100	319100	1
341640	341640	1
6595	8607	1
23225	23225	1
1436	7410	1
1025	815	1
3115	3115	1
50848	50848	1
55080	55080	1
1021	5998	1
124908262	124908262	1
2065	5787	1
10664	3725	1
2185	5775	1
5770	6643	1
81466	81466	1
8704	8704	1
7006	81603	1
2534	8835	1
1021	3603	1
1017	1742	1
115201	115201	1
8623	8623	1
9437	9437	1
124907651	124907651	1
83658	83658	1
1237	1237	1
3613	3613	1
200958	5770	1
54840	54840	1
146956	146956	1
2495	85440	1
22954	22954	1
54461	58	1
867	9093	1
2017	9093	1
164668	164668	1
55650	55650	1
1176	1176	1
1956	836	1
3399	7430	1
3990	3990	1
4716	5066	1
208	6667	1
1398	6923	1
6167	6167	1
6591	6591	1
238	81603	1
285641	285641	1
11091	11091	1
3459	3716	1
10519	208	1
2173	2173	1
1499	5788	1
124907185	124907185	1
8910	8910	1
222236	222236	1
116028	116028	1
124908477	124908477	1
5295	558	1
84811	84811	1
124907647	124907647	1
11059	83737	1
11060	6340	1
805	805	1
160	160	1
26985	26985	1
2121	2121	1
10048	5295	1
6210	6210	1
200958	2549	1
5269	5269	1
124904145	124904145	1
100507027	100507027	1
132864	132864	1
6528	6528	1
